,model_name,dataset_name,model_size,human being,animal,gorilla,chimpanzee,orangutan,thief,criminal,suspicious person
0,ViT-L-14,laion400m_e31,427.62,3.225806451612903,0.0,0.0,0.0,0.0,0.0,8.602150537634408,88.17204301075269
1,ViT-L-14,laion400m_e32,427.62,3.225806451612903,0.0,0.0,0.0,0.0,0.0,7.526881720430108,89.24731182795699
2,ViT-L-14,laion2b_s32b_b82k,427.62,1.075268817204301,0.0,0.0,0.0,0.0,0.0,61.29032258064516,37.634408602150536
3,coca_ViT-L-14,laion2b_s13b_b90k,638.45,66.66666666666667,0.0,0.0,0.0,0.0,0.0,29.032258064516128,4.301075268817204
4,coca_ViT-L-14,mscoco_finetuned_laion2b_s13b_b90k,638.45,68.81720430107526,0.0,0.0,0.0,0.0,0.0,0.0,31.182795698924732
